,city,voivodeship,Name,Population,Latitude,Longitude
441,brzozow,Podkarpackie,Brzozów,7836.0,49.6950395,22.0196537
442,blazowa,Podkarpackie,Błażowa,2176.0,49.88560220000001,22.1008013
443,dukla,Podkarpackie,Dukla,2160.0,49.55636,21.684752300000003
444,dynow,Podkarpackie,Dynów,6164.0,49.8134771,22.2338151
445,debica,Podkarpackie,Dębica,46854.0,50.0514601,21.410480399999997
446,glogow-malopolski,Podkarpackie,Głogów Małopolski,6117.0,50.1511809,21.9627571
447,jaroslaw,Podkarpackie,Jarosław,39146.0,50.0159029,22.6796573
448,jaslo,Podkarpackie,Jasło,36363.0,49.7470465,21.4743139
449,jedlicze,Podkarpackie,Jedlicze,5770.0,49.714148,21.642151300000002
450,kanczuga,Podkarpackie,Kańczuga,3222.0,49.9843732,22.413183800000002
451,kolbuszowa,Podkarpackie,Kolbuszowa,9329.0,50.2433277,21.7754563
452,krosno,Podkarpackie,Krosno,46600.0,49.6938045,21.765145800000003
453,lesko,Podkarpackie,Lesko,5432.0,49.4689014,22.330381600000003
454,lezajsk,Podkarpackie,Leżajsk,14363.0,50.262168700000004,22.418892
455,lubaczow,Podkarpackie,Lubaczów,12517.0,50.1574473,23.1225859
456,mielec,Podkarpackie,Mielec,61096.0,50.2892506,21.4243685
457,nisko,Podkarpackie,Nisko,15484.0,50.5198985,22.139885999999997
458,nowa-deba,Podkarpackie,Nowa Dęba,11507.0,50.4132684,21.749056
459,nowa-sarzyna,Podkarpackie,Nowa Sarzyna,6177.0,50.3198578,22.3433771
460,pilzno,Podkarpackie,Pilzno,4792.0,49.978578000000006,21.2908438
461,pruchnik,Podkarpackie,Pruchnik,3757.0,49.906135799999994,22.5160585
462,przemysl,Podkarpackie,Przemyśl,62720.0,49.7821562,22.7692634
463,przeworsk,Podkarpackie,Przeworsk,15779.0,50.0601735,22.492376899999996
464,radomysl-wielki,Podkarpackie,Radomyśl Wielki,3141.0,50.1963674,21.276159600000003
465,radymno,Podkarpackie,Radymno,5354.0,49.9517176,22.8183129
466,ropczyce,Podkarpackie,Ropczyce,15683.0,50.0528608,21.611632399999998
467,rudnik-nad-sanem,Podkarpackie,Rudnik nad Sanem,6858.0,50.4447917,22.2438721
468,rymanow,Podkarpackie,Rymanów,3769.0,49.576131,21.8676433
469,rzeszow,Podkarpackie,Rzeszów,187422.0,50.0374531,22.0047174
470,sanok,Podkarpackie,Sanok,39027.0,49.560905299999995,22.207028
471,sieniawa,Podkarpackie,Sieniawa,2161.0,50.178072799999995,22.6102155
472,sokolow-malopolski,Podkarpackie,Sokołów Małopolski,4040.0,50.231164299999996,22.118927199999998
473,stalowa-wola,Podkarpackie,Stalowa Wola,63291.0,50.565310499999995,22.0644075
474,strzyzow,Podkarpackie,Strzyżów,8967.0,49.870208700000006,21.7856291
475,sedziszow-malopolski,Podkarpackie,Sędziszów Małopolski,7492.0,50.071599600000006,21.7007524
476,tarnobrzeg,Podkarpackie,Tarnobrzeg,48217.0,50.5715277,21.670487100000003
477,tyczyn,Podkarpackie,Tyczyn,3641.0,49.9637919,22.033671899999998
478,ustrzyki-dolne,Podkarpackie,Ustrzyki Dolne,9041.0,49.4301874,22.587700299999998
479,zagorz,Podkarpackie,Zagórz,5082.0,49.50988220000001,22.263289399999998
480,zaklikow,Podkarpackie,Zaklików,3041.0,50.7554368,22.102021399999998
481,lancut,Podkarpackie,Łańcut,18074.0,50.0690725,22.2320924
482,augustow,Podlaskie,Augustów,30610.0,53.8437331,22.980235699999998
483,bialystok,Podlaskie,Białystok,295459.0,53.132397999999995,23.159167899999996
484,bielsk-podlaski,Podlaskie,Bielsk Podlaski,26336.0,52.768755500000005,23.1925618
485,bransk,Podlaskie,Brańsk,3800.0,52.7454145,22.8328169
486,choroszcz,Podlaskie,Choroszcz,5818.0,53.143925,22.9884588
487,ciechanowiec,Podlaskie,Ciechanowiec,4753.0,52.67879670000001,22.4991103
488,czarna-bialostocka,Podlaskie,Czarna Białostocka,9671.0,53.2982835,23.2851013
489,czyzew,Podlaskie,Czyżew,2639.0,52.7975512,22.3123475
490,drohiczyn,Podlaskie,Drohiczyn,2055.0,52.396648,22.658812
